code,continent,subregion,difficulty,standard_target
PNG,Oceania,Melanesia,medium,true
POL,Europe,Eastern Europe,easy,true
PRI,North America,Caribbean,expert,false
PRK,Asia,Eastern Asia,medium,true
PRT,Europe,Southern Europe,easy,true
PRY,South America,South America,medium,true
PSE,Asia,Western Asia,medium,true
PYF,Oceania,Polynesia,expert,false
QAT,Asia,Western Asia,easy,true
REU,Africa,Eastern Africa,expert,false
ROU,Europe,Eastern Europe,easy,true
RUS,Europe,Eastern Europe,easy,true
RWA,Africa,Eastern Africa,medium,true
SAU,Asia,Western Asia,easy,true
SDN,Africa,Northern Africa,medium,true
SEN,Africa,Western Africa,medium,true
SGP,Asia,South-eastern Asia,easy,true
SGS,South America,South America,expert,false
SHN,Africa,Western Africa,expert,false
SJM,Europe,Northern Europe,expert,false
SLB,Oceania,Melanesia,expert,false
SLE,Africa,Western Africa,expert,false
SLV,North America,Central America,medium,true
SMR,Europe,Southern Europe,expert,false
SOM,Africa,Eastern Africa,expert,false
SPM,North America,Northern America,expert,false
SRB,Europe,Southern Europe,medium,true
SSD,Africa,Eastern Africa,medium,true
STP,Africa,Middle Africa,expert,false
SUR,South America,South America,expert,false
SVK,Europe,Eastern Europe,medium,true
SVN,Europe,Southern Europe,medium,true
SWE,Europe,Northern Europe,easy,true
SWZ,Africa,Southern Africa,medium,true
SXM,North America,Caribbean,expert,false
SYC,Africa,Eastern Africa,expert,false
SYR,Asia,Western Asia,medium,true
TCA,North America,Caribbean,expert,false
TCD,Africa,Middle Africa,medium,true
TGO,Africa,Western Africa,expert,false
THA,Asia,South-eastern Asia,easy,true
TJK,Asia,Central Asia,expert,false
TKL,Oceania,Polynesia,expert,false
TKM,Asia,Central Asia,expert,false
TLS,Asia,South-eastern Asia,expert,false
TON,Oceania,Polynesia,expert,false
TTO,North America,Caribbean,medium,true
TUN,Africa,Northern Africa,easy,true
TUR,Asia,Western Asia,easy,true
TUV,Oceania,Polynesia,expert,false
TZA,Africa,Eastern Africa,easy,true
UGA,Africa,Eastern Africa,easy,true
UKR,Europe,Eastern Europe,easy,true
UMI,Oceania,Micronesia,expert,false
URY,South America,South America,easy,true
USA,North America,Northern America,easy,true
UZB,Asia,Central Asia,medium,true
VAT,Europe,Southern Europe,medium,true
VCT,North America,Caribbean,expert,false
VEN,South America,South America,easy,true
VGB,North America,Caribbean,expert,false
VIR,North America,Caribbean,expert,false
VNM,Asia,South-eastern Asia,easy,true
VUT,Oceania,Melanesia,expert,false
WLF,Oceania,Polynesia,expert,false
WSM,Oceania,Polynesia,expert,false
YEM,Asia,Western Asia,expert,false
ZAF,Africa,Southern Africa,easy,true
ZMB,Africa,Eastern Africa,medium,true
ZWE,Africa,Eastern Africa,easy,true
XKX,Europe,Southern Europe,medium,true
